Model,N,MAE_uV,RMSE_uV,R2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
FF,41,18.34875798933305,24.534932183478663,0.5018534022436961,0.7091648421089466,2.1054687950323034e-07,0.7506645284516105,1.585103861604806e-08
OCT,60,21.009173190982082,26.03091093391503,0.2655372843646048,0.5203980207016687,2.0258191563908546e-05,0.4885308957836863,7.490627001686193e-05
FAF,47,16.661983288794683,20.61672278345288,0.36205241210758576,0.6103933209476435,5.223521855406243e-06,0.6000603995353497,8.270244155201763e-06
Multimodal OCT+FAF+FF,33,11.677605609468197,15.045316490952525,0.6950556322167294,0.842269953950551,7.993056262535171e-10,0.8442259370495744,6.682380180512424e-10
