Model,N,Mean_actual_ERG,Mean_predicted_ERG,Bias_predicted_minus_actual,Bias_95CI_low,Bias_95CI_high,SD_difference,Lower_LoA,Lower_LoA_95CI_low,Lower_LoA_95CI_high,Upper_LoA,Upper_LoA_95CI_low,Upper_LoA_95CI_high,Proportional_bias_slope,Proportional_bias_intercept,Proportional_bias_r,Proportional_bias_p,Bias_boot_95CI_low,Bias_boot_95CI_high,Lower_LoA_boot_95CI_low,Lower_LoA_boot_95CI_high,Upper_LoA_boot_95CI_low,Upper_LoA_boot_95CI_high
FF,41,31.49756097560976,32.33050649878694,0.8329455231771856,-7.002919755654385,8.668810802008757,24.82540687437769,-47.82485195060308,-61.32625474949944,-34.323449151706726,49.49074299695746,35.9893401980611,62.992145795853816,-0.3618342078004392,12.380534638192838,-0.41131440796341406,0.0075480673650280385,-6.873389459628585,8.196368907206901,-62.465245551590044,-31.715110601409254,35.44365416068587,61.098385940660684
OCT,60,31.45,31.444984610960045,-0.00501538903995673,-6.78626042840746,6.776229650327546,26.250584475726324,-51.456160961463546,-63.10995485590206,-39.80236706702503,51.44613018338364,39.79233628894512,63.09992407782215,-0.6585347638447332,20.704251529858393,-0.5391118489912021,8.822345524434571e-06,-6.753356483237371,6.598614000494708,-63.13547134896891,-38.104748453785085,41.924398206560284,59.73422461172675
FAF,47,28.97872340425532,28.830471876827684,-0.14825152742763947,-6.2668328583010275,5.970329803445749,20.83907395467912,-40.99283647859871,-51.52418680073976,-30.46148615645766,40.69633342374343,30.16498310160238,51.227683745884484,-0.41361668770806687,11.807172408187542,-0.39932391848105486,0.005425511897684929,-5.92391061562431,5.673255409754659,-49.79485102213435,-30.747606553937374,30.398276501894024,50.35678943876204
Multimodal OCT+FAF+FF,33,28.727272727272727,29.205482545799242,0.4782098185265136,-4.936605757434211,5.893025394487238,15.270871477177312,-29.45269827674102,-38.80141304393965,-20.103983509542395,30.409117913794045,21.06040314659542,39.75783268099267,-0.34724978257690425,10.536778154854137,-0.5209855748959679,0.001879363767564358,-4.836222461696626,5.409611487903134,-39.5284947366202,-19.22211596948476,21.06753754010362,37.94293507003686
