Model,N,Overestimated_N,Underestimated_N,Exact_N,Median_error,Mean_error,Mean_absolute_error,Max_overestimation,Max_underestimation
FF,41,19,22,0,-0.6482519449353816,0.8329455231771856,18.34875798933305,51.66407561420475,-63.52316858285579
OCT,60,34,26,0,3.831920864322246,-0.00501538903995673,21.009173190982082,53.51087162290762,-64.59277705560763
FAF,47,24,23,0,0.6435031194697025,-0.14825152742763947,16.661983288794683,53.891155616692735,-49.58184789382021
Multimodal OCT+FAF+FF,33,17,16,0,0.7381574004331313,0.4782098185265136,11.677605609468197,31.83610011400085,-41.5930121686124
